year;month;date;service;depart_st;arrival_st;avg_duration;exp_monthly_trains;cancelled_nb;delay>15;delay>30;delay>60;delay_external;delay_infrastructure;delay_traffic_management;delay_rolling_stock;delay_station_management;delay_passenger_related
2018;Feb;2018-02-01;International;PARIS LYON;LAUSANNE;223;135;0;11;5;3;50.0;10.0;0.0;40.0;0.0;0.0
2018;Feb;2018-02-01;National;ANGOULEME;PARIS MONTPARNASSE;125;256;24;54;29;13;49.18;21.31;3.28;11.48;11.48;3.28
2018;Feb;2018-02-01;National;BORDEAUX ST JEAN;PARIS MONTPARNASSE;140;824;62;162;86;36;51.79;19.64;10.71;10.71;4.76;2.38
2018;Feb;2018-02-01;National;PARIS MONTPARNASSE;BREST;222;256;10;50;31;12;59.18;22.45;6.12;10.2;2.04;0.0
2018;Feb;2018-02-01;National;PARIS MONTPARNASSE;NANTES;124;465;22;80;49;15;63.53;14.12;9.41;9.41;3.53;0.0
2018;Feb;2018-02-01;National;PARIS MONTPARNASSE;QUIMPER;221;237;11;49;28;11;46.94;26.53;12.24;12.24;2.04;0.0
2018;Feb;2018-02-01;National;PARIS MONTPARNASSE;ST PIERRE DES CORPS;61;360;24;59;32;11;58.33;13.89;12.5;13.89;0.0;1.39
2018;Feb;2018-02-01;National;ST MALO;PARIS MONTPARNASSE;159;84;2;13;6;4;47.06;23.53;11.76;11.76;5.88;0.0
2018;Feb;2018-02-01;National;VANNES;PARIS MONTPARNASSE;155;243;9;51;21;12;43.55;29.03;8.06;14.52;4.84;0.0
2018;Feb;2018-02-01;National;PARIS EST;METZ;84;275;8;41;14;4;63.79;1.72;6.9;24.14;3.45;0.0
2018;Feb;2018-02-01;National;PARIS EST;NANCY;94;268;4;44;16;4;61.29;0.0;9.68;25.81;3.23;0.0
